in s,C1 in V
2.36015504E-02,-3.14824E-01
2.36015552E-02,-3.19707E-01
2.36015600E-02,-3.09941E-01
2.36015648E-02,-3.09941E-01
2.36015696E-02,-3.19707E-01
2.36015744E-02,-3.14824E-01
2.36015792E-02,-3.29473E-01
2.36015840E-02,-3.24590E-01
2.36015888E-02,-3.19707E-01
2.36015936E-02,-2.95293E-01
2.36015984E-02,-3.19707E-01
2.36016032E-02,-3.24590E-01
2.36016080E-02,-3.19707E-01
2.36016128E-02,-3.24590E-01
2.36016176E-02,-3.19707E-01
2.36016224E-02,-3.39238E-01
2.36016272E-02,-3.19707E-01
2.36016320E-02,-3.19707E-01
2.36016368E-02,-3.29473E-01
2.36016416E-02,-3.49004E-01
2.36016464E-02,-3.19707E-01
2.36016512E-02,-3.34355E-01
2.36016560E-02,-3.29473E-01
2.36016608E-02,-3.34355E-01
2.36016656E-02,-3.29473E-01
2.36016704E-02,-3.34355E-01
2.36016752E-02,-3.29473E-01
2.36016800E-02,-3.34355E-01
2.36016848E-02,-3.44121E-01
2.36016896E-02,-3.49004E-01
2.36016944E-02,-3.24590E-01
2.36016992E-02,-3.29473E-01
2.36017040E-02,-3.34355E-01
2.36017088E-02,-3.44121E-01
2.36017136E-02,-3.19707E-01
2.36017184E-02,-3.34355E-01
2.36017232E-02,-3.44121E-01
2.36017280E-02,-3.49004E-01
2.36017328E-02,-3.44121E-01
2.36017376E-02,-3.49004E-01
2.36017424E-02,-3.53887E-01
2.36017472E-02,-3.39238E-01
2.36017520E-02,-3.39238E-01
2.36017568E-02,-3.53887E-01
2.36017616E-02,-3.53887E-01
2.36017664E-02,-3.34355E-01
2.36017712E-02,-3.44121E-01
2.36017760E-02,-3.44121E-01
2.36017808E-02,-3.53887E-01
2.36017856E-02,-3.53887E-01
2.36017904E-02,-3.39238E-01
2.36017952E-02,-3.53887E-01
2.36018000E-02,-3.53887E-01
2.36018048E-02,-3.58770E-01
2.36018096E-02,-3.49004E-01
2.36018144E-02,-3.63652E-01
2.36018192E-02,-3.49004E-01
2.36018240E-02,-3.49004E-01
2.36018288E-02,-3.53887E-01
2.36018336E-02,-3.58770E-01
2.36018384E-02,-3.49004E-01
2.36018432E-02,-3.53887E-01
2.36018480E-02,-3.68535E-01
2.36018528E-02,-3.68535E-01
2.36018576E-02,-3.53887E-01
2.36018624E-02,-3.68535E-01
2.36018672E-02,-3.68535E-01
2.36018720E-02,-3.68535E-01
2.36018768E-02,-3.63652E-01
2.36018816E-02,-3.58770E-01
2.36018864E-02,-3.49004E-01
2.36018912E-02,-3.58770E-01
2.36018960E-02,-3.58770E-01
2.36019008E-02,-3.53887E-01
2.36019056E-02,-3.68535E-01
2.36019104E-02,-3.68535E-01
2.36019152E-02,-3.53887E-01
2.36019200E-02,-3.49004E-01
2.36019248E-02,-3.68535E-01
2.36019296E-02,-3.53887E-01
2.36019344E-02,-3.44121E-01
2.36019392E-02,-3.73418E-01
2.36019440E-02,-3.68535E-01
2.36019488E-02,-3.73418E-01
2.36019536E-02,-3.78301E-01
2.36019584E-02,-3.78301E-01
2.36019632E-02,-3.68535E-01
2.36019680E-02,-3.68535E-01
2.36019728E-02,-3.63652E-01
2.36019776E-02,-3.73418E-01
2.36019824E-02,-3.68535E-01
2.36019872E-02,-3.83184E-01
2.36019920E-02,-3.68535E-01
2.36019968E-02,-3.78301E-01
2.36020016E-02,-3.83184E-01
2.36020064E-02,-3.78301E-01
2.36020112E-02,-3.73418E-01
2.36020160E-02,-3.73418E-01
2.36020208E-02,-3.88066E-01
2.36020256E-02,-3.92949E-01
2.36020304E-02,-3.73418E-01
2.36020352E-02,-3.78301E-01
2.36020400E-02,-3.83184E-01
2.36020448E-02,-3.88066E-01
2.36020496E-02,-3.68535E-01
2.36020544E-02,-4.02715E-01
2.36020592E-02,-3.73418E-01
2.36020640E-02,-3.88066E-01
2.36020688E-02,-3.88066E-01
2.36020736E-02,-3.92949E-01
2.36020784E-02,-4.02715E-01
2.36020832E-02,-3.92949E-01
2.36020880E-02,-3.92949E-01
2.36020928E-02,-3.97832E-01
2.36020976E-02,-3.97832E-01
2.36021024E-02,-4.07598E-01
2.36021072E-02,-3.88066E-01
2.36021120E-02,-3.92949E-01
2.36021168E-02,-3.83184E-01
2.36021216E-02,-3.92949E-01
2.36021264E-02,-3.92949E-01
2.36021312E-02,-3.78301E-01
2.36021360E-02,-3.88066E-01
2.36021408E-02,-3.88066E-01
2.36021456E-02,-3.92949E-01
2.36021504E-02,-3.92949E-01
2.36021552E-02,-3.92949E-01
2.36021600E-02,-4.07598E-01
2.36021648E-02,-3.92949E-01
2.36021696E-02,-4.07598E-01
2.36021744E-02,-3.92949E-01
2.36021792E-02,-4.17363E-01
2.36021840E-02,-4.17363E-01
2.36021888E-02,-3.92949E-01
2.36021936E-02,-4.02715E-01
2.36021984E-02,-4.07598E-01
2.36022032E-02,-3.92949E-01
2.36022080E-02,-3.97832E-01
2.36022128E-02,-4.02715E-01
2.36022176E-02,-4.07598E-01
2.36022224E-02,-3.97832E-01
2.36022272E-02,-4.07598E-01
2.36022320E-02,-4.02715E-01
2.36022368E-02,-4.07598E-01
2.36022416E-02,-4.02715E-01
2.36022464E-02,-4.07598E-01
2.36022512E-02,-4.07598E-01
2.36022560E-02,-4.12480E-01
2.36022608E-02,-4.27129E-01
2.36022656E-02,-4.07598E-01
2.36022704E-02,-4.17363E-01
2.36022752E-02,-4.12480E-01
2.36022800E-02,-4.02715E-01
2.36022848E-02,-4.12480E-01
2.36022896E-02,-4.07598E-01
2.36022944E-02,-4.32012E-01
2.36022992E-02,-4.12480E-01
2.36023040E-02,-4.22246E-01
2.36023088E-02,-4.07598E-01
2.36023136E-02,-4.22246E-01
2.36023184E-02,-4.22246E-01
2.36023232E-02,-4.27129E-01
2.36023280E-02,-4.27129E-01
2.36023328E-02,-4.41777E-01
2.36023376E-02,-4.22246E-01
2.36023424E-02,-4.27129E-01
2.36023472E-02,-4.27129E-01
2.36023520E-02,-4.22246E-01
2.36023568E-02,-4.27129E-01
2.36023616E-02,-4.22246E-01
2.36023664E-02,-4.27129E-01
2.36023712E-02,-4.12480E-01
2.36023760E-02,-4.32012E-01
2.36023808E-02,-4.22246E-01
2.36023856E-02,-4.27129E-01
2.36023904E-02,-4.32012E-01
2.36023952E-02,-4.27129E-01
2.36024000E-02,-4.27129E-01
2.36024048E-02,-4.27129E-01
2.36024096E-02,-4.41777E-01
2.36024144E-02,-4.46660E-01
2.36024192E-02,-4.22246E-01
2.36024240E-02,-4.36895E-01
2.36024288E-02,-4.41777E-01
2.36024336E-02,-4.41777E-01
2.36024384E-02,-4.32012E-01
2.36024432E-02,-4.36895E-01
2.36024480E-02,-4.51543E-01
2.36024528E-02,-4.46660E-01
2.36024576E-02,-4.41777E-01
2.36024624E-02,-4.41777E-01
2.36024672E-02,-4.41777E-01
2.36024720E-02,-4.32012E-01
2.36024768E-02,-4.51543E-01
2.36024816E-02,-4.46660E-01
2.36024864E-02,-4.41777E-01
2.36024912E-02,-4.36895E-01
2.36024960E-02,-4.27129E-01
2.36025008E-02,-4.36895E-01
2.36025056E-02,-4.51543E-01
2.36025104E-02,-4.56426E-01
2.36025152E-02,-4.36895E-01
2.36025200E-02,-4.61309E-01
2.36025248E-02,-4.51543E-01
2.36025296E-02,-4.46660E-01
2.36025344E-02,-4.61309E-01
2.36025392E-02,-4.71074E-01
2.36025440E-02,-4.51543E-01
2.36025488E-02,-4.51543E-01
2.36025536E-02,-4.56426E-01
2.36025584E-02,-4.56426E-01
2.36025632E-02,-4.61309E-01
2.36025680E-02,-4.56426E-01
2.36025728E-02,-4.61309E-01
2.36025776E-02,-4.56426E-01
2.36025824E-02,-4.61309E-01
2.36025872E-02,-4.66191E-01
2.36025920E-02,-4.61309E-01
2.36025968E-02,-4.56426E-01
2.36026016E-02,-4.61309E-01
2.36026064E-02,-4.51543E-01
2.36026112E-02,-4.41777E-01
2.36026160E-02,-4.51543E-01
2.36026208E-02,-4.61309E-01
2.36026256E-02,-4.56426E-01
2.36026304E-02,-4.61309E-01
2.36026352E-02,-4.51543E-01
2.36026400E-02,-4.71074E-01
2.36026448E-02,-4.46660E-01
2.36026496E-02,-4.66191E-01
2.36026544E-02,-4.61309E-01
2.36026592E-02,-4.66191E-01
2.36026640E-02,-4.75957E-01
2.36026688E-02,-4.71074E-01
2.36026736E-02,-4.61309E-01
2.36026784E-02,-4.75957E-01
2.36026832E-02,-4.61309E-01
2.36026880E-02,-4.85723E-01
2.36026928E-02,-4.66191E-01
2.36026976E-02,-4.61309E-01
2.36027024E-02,-4.71074E-01
2.36027072E-02,-4.61309E-01
2.36027120E-02,-4.61309E-01
2.36027168E-02,-4.66191E-01
2.36027216E-02,-4.71074E-01
2.36027264E-02,-4.61309E-01
2.36027312E-02,-4.71074E-01
2.36027360E-02,-4.66191E-01
2.36027408E-02,-4.71074E-01
2.36027456E-02,-4.71074E-01
2.36027504E-02,-4.71074E-01
2.36027552E-02,-4.85723E-01
2.36027600E-02,-4.71074E-01
2.36027648E-02,-4.80840E-01
2.36027696E-02,-4.71074E-01
2.36027744E-02,-4.85723E-01
2.36027792E-02,-4.95488E-01
2.36027840E-02,-4.71074E-01
2.36027888E-02,-4.80840E-01
2.36027936E-02,-4.85723E-01
2.36027984E-02,-4.71074E-01
2.36028032E-02,-4.90605E-01
2.36028080E-02,-4.75957E-01
2.36028128E-02,-4.95488E-01
2.36028176E-02,-4.80840E-01
2.36028224E-02,-4.85723E-01
2.36028272E-02,-4.75957E-01
2.36028320E-02,-4.85723E-01
2.36028368E-02,-4.80840E-01
2.36028416E-02,-4.95488E-01
2.36028464E-02,-5.00371E-01
2.36028512E-02,-5.00371E-01
2.36028560E-02,-4.95488E-01
2.36028608E-02,-5.00371E-01
2.36028656E-02,-5.00371E-01
2.36028704E-02,-5.00371E-01
2.36028752E-02,-4.95488E-01
2.36028800E-02,-4.95488E-01
2.36028848E-02,-4.95488E-01
2.36028896E-02,-5.05254E-01
2.36028944E-02,-4.95488E-01
2.36028992E-02,-4.95488E-01
2.36029040E-02,-5.00371E-01
2.36029088E-02,-5.00371E-01
2.36029136E-02,-5.00371E-01
2.36029184E-02,-5.00371E-01
2.36029232E-02,-4.80840E-01
2.36029280E-02,-5.00371E-01
2.36029328E-02,-4.95488E-01
2.36029376E-02,-5.00371E-01
2.36029424E-02,-4.85723E-01
2.36029472E-02,-4.95488E-01
2.36029520E-02,-4.80840E-01
2.36029568E-02,-5.05254E-01
2.36029616E-02,-4.75957E-01
2.36029664E-02,-5.00371E-01
2.36029712E-02,-4.90605E-01
2.36029760E-02,-4.95488E-01
2.36029808E-02,-5.24785E-01
2.36029856E-02,-5.10137E-01
2.36029904E-02,-5.05254E-01
2.36029952E-02,-5.10137E-01
2.36030000E-02,-5.10137E-01
2.36030048E-02,-5.15020E-01
2.36030096E-02,-5.00371E-01
2.36030144E-02,-5.15020E-01
2.36030192E-02,-5.00371E-01
2.36030240E-02,-5.05254E-01
2.36030288E-02,-5.19902E-01
2.36030336E-02,-5.24785E-01
2.36030384E-02,-5.10137E-01
2.36030432E-02,-5.19902E-01
2.36030480E-02,-5.05254E-01
2.36030528E-02,-5.19902E-01
2.36030576E-02,-5.15020E-01
2.36030624E-02,-5.29668E-01
2.36030672E-02,-5.00371E-01
2.36030720E-02,-5.29668E-01
2.36030768E-02,-5.10137E-01
2.36030816E-02,-5.29668E-01
2.36030864E-02,-5.15020E-01
2.36030912E-02,-5.24785E-01
2.36030960E-02,-5.19902E-01
2.36031008E-02,-5.19902E-01
2.36031056E-02,-5.19902E-01
2.36031104E-02,-5.29668E-01
2.36031152E-02,-5.19902E-01
2.36031200E-02,-5.29668E-01
2.36031248E-02,-5.15020E-01
2.36031296E-02,-5.19902E-01
2.36031344E-02,-5.19902E-01
2.36031392E-02,-5.24785E-01
2.36031440E-02,-5.24785E-01
2.36031488E-02,-5.19902E-01
2.36031536E-02,-5.29668E-01
2.36031584E-02,-5.29668E-01
2.36031632E-02,-5.15020E-01
2.36031680E-02,-5.19902E-01
2.36031728E-02,-5.34551E-01
2.36031776E-02,-5.34551E-01
2.36031824E-02,-5.34551E-01
2.36031872E-02,-5.34551E-01
2.36031920E-02,-5.34551E-01
2.36031968E-02,-5.19902E-01
2.36032016E-02,-5.19902E-01
2.36032064E-02,-5.39434E-01
2.36032112E-02,-5.34551E-01
2.36032160E-02,-5.34551E-01
2.36032208E-02,-5.29668E-01
2.36032256E-02,-5.39434E-01
2.36032304E-02,-5.29668E-01
2.36032352E-02,-5.39434E-01
2.36032400E-02,-5.34551E-01
2.36032448E-02,-5.29668E-01
2.36032496E-02,-5.39434E-01
2.36032544E-02,-5.49199E-01
2.36032592E-02,-5.29668E-01
2.36032640E-02,-5.44316E-01
2.36032688E-02,-5.49199E-01
2.36032736E-02,-5.49199E-01
2.36032784E-02,-5.39434E-01
2.36032832E-02,-5.49199E-01
2.36032880E-02,-5.49199E-01
2.36032928E-02,-5.63848E-01
2.36032976E-02,-5.39434E-01
2.36033024E-02,-5.39434E-01
2.36033072E-02,-5.44316E-01
2.36033120E-02,-5.49199E-01
2.36033168E-02,-5.39434E-01
2.36033216E-02,-5.44316E-01
2.36033264E-02,-5.39434E-01
2.36033312E-02,-5.58965E-01
2.36033360E-02,-5.29668E-01
2.36033408E-02,-5.39434E-01
2.36033456E-02,-5.39434E-01
2.36033504E-02,-5.39434E-01
2.36033552E-02,-5.39434E-01
2.36033600E-02,-5.49199E-01
2.36033648E-02,-5.39434E-01
2.36033696E-02,-5.54082E-01
2.36033744E-02,-5.49199E-01
2.36033792E-02,-5.58965E-01
2.36033840E-02,-5.54082E-01
2.36033888E-02,-5.49199E-01
2.36033936E-02,-5.44316E-01
2.36033984E-02,-5.44316E-01
2.36034032E-02,-5.44316E-01
2.36034080E-02,-5.54082E-01
2.36034128E-02,-5.49199E-01
2.36034176E-02,-5.54082E-01
2.36034224E-02,-5.49199E-01
2.36034272E-02,-5.54082E-01
2.36034320E-02,-5.54082E-01
2.36034368E-02,-5.54082E-01
2.36034416E-02,-5.49199E-01
2.36034464E-02,-5.63848E-01
2.36034512E-02,-5.54082E-01
2.36034560E-02,-5.58965E-01
2.36034608E-02,-5.54082E-01
2.36034656E-02,-5.73613E-01
2.36034704E-02,-5.68730E-01
2.36034752E-02,-5.68730E-01
2.36034800E-02,-5.63848E-01
2.36034848E-02,-5.83379E-01
2.36034896E-02,-5.63848E-01
2.36034944E-02,-5.63848E-01
2.36034992E-02,-5.68730E-01
2.36035040E-02,-5.78496E-01
2.36035088E-02,-5.88262E-01
2.36035136E-02,-5.68730E-01
2.36035184E-02,-5.78496E-01
2.36035232E-02,-5.63848E-01
2.36035280E-02,-5.78496E-01
2.36035328E-02,-5.78496E-01
2.36035376E-02,-5.73613E-01
2.36035424E-02,-5.93145E-01
2.36035472E-02,-5.73613E-01
2.36035520E-02,-5.49199E-01
2.36035568E-02,-5.83379E-01
2.36035616E-02,-5.73613E-01
2.36035664E-02,-5.68730E-01
2.36035712E-02,-5.83379E-01
2.36035760E-02,-5.68730E-01
2.36035808E-02,-5.83379E-01
2.36035856E-02,-5.68730E-01
2.36035904E-02,-5.68730E-01
2.36035952E-02,-5.78496E-01
2.36036000E-02,-5.98027E-01
2.36036048E-02,-5.83379E-01
2.36036096E-02,-5.68730E-01
2.36036144E-02,-5.88262E-01
2.36036192E-02,-5.98027E-01
2.36036240E-02,-5.88262E-01
2.36036288E-02,-5.98027E-01
2.36036336E-02,-5.83379E-01
2.36036384E-02,-5.93145E-01
2.36036432E-02,-5.78496E-01
2.36036480E-02,-5.88262E-01
2.36036528E-02,-5.93145E-01
2.36036576E-02,-5.88262E-01
2.36036624E-02,-5.68730E-01
2.36036672E-02,-5.88262E-01
2.36036720E-02,-5.83379E-01
2.36036768E-02,-5.93145E-01
2.36036816E-02,-5.98027E-01
2.36036864E-02,-5.98027E-01
2.36036912E-02,-5.88262E-01
2.36036960E-02,-5.93145E-01
2.36037008E-02,-5.78496E-01
2.36037056E-02,-5.88262E-01
2.36037104E-02,-5.98027E-01
2.36037152E-02,-5.98027E-01
