EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
3.58124,0,0,0
4.59252,0,0,0
60,0,0,0
3.74217,0,0,0
60,0,0,0
60,0,0,0
8.63109,0,0,0
0.225945,0,0,0
25.0181,0,0,0
4.97745,0,0,0
8.06518,0,0,0
1.08016,0,0,0
8.20727,0,0,0
2.79426,0,0,0
4.97739,0,0,0
5.81806,0,0,0
60,0,0,0
9.10424,0,0,0
60,0,0,0
60,0,0,0
11.1655,0,0,0
4.09526,0,0,0
60,0,0,0
11.293,0,0,0
9.79221,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.12105,0,0,0
60,0,0,0
7.56117,0,0,0
60,0,0,0
8.17661,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.38834,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.0584,0,0,0
60,0,0,0
11.3848,0,0,0
9.5161,0,0,0
60,0,0,0
1.38369,0,0,0
60,0,0,0
60,0,0,0
7.48496,0,0,0
60,0,0,0
60,0,0,0
10.6778,0,0,0
11.3986,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.93963,0,0,0
0.629144,0,0,0
1.64787,0,0,0
2.47443,0,0,0
60,0,0,0
0.373771,0,0,0
14.1054,0,0,0
1.44605,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.85468,0,0,0
4.67454,0,0,0
1.01144,0,0,0
4.90321,0,0,0
1.29506,0,0,0
60,0,0,0
11.0095,0,0,0
3.27059,0,0,0
60,0,0,0
1.72662,0,0,0
0.827053,0,0,0
60,0,0,0
2.09799,0,0,0
60,0,0,0
60,0,0,0
11.1197,0,0,0
60,0,0,0
60,0,0,0
16.1512,0,0,0
60,0,0,0
10.8346,0,0,0
6.32918,0,0,0
17.2407,0,0,0
60,0,0,0
9.71081,0,0,0
60,0,0,0
0.281512,0,0,0
60,0,0,0
9.58915,0,0,0
3.70153,0,0,0
6.78972,0,0,0
24.5512,0,0,0
3.14644,0,0,0
60,0,0,0
2.74321,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.32184,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.4342,0,0,0
7.09558,0,0,0
60,0,0,0
2.00432,0,0,0
60,0,0,0
60,0,0,0
2.68403,0,0,0
60,0,0,0
7.66549,0,0,0
4.17334,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.1011,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.73416,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.85337,0,0,0
6.52562,0,0,0
9.83111,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.03053,0,0,0
8.86051,0,0,0
0.499394,0,0,0
60,0,0,0
