EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
6.98338,0,0,0
181.71,0,0,0
403.031,0,0,0
109.392,0,0,0
22.311,0,0,0
28.5095,0,0,0
118.691,0,0,0
47.3892,0,0,0
5.64087,0,0,0
61.2519,0,0,0
212.458,0,0,0
42.5234,0,0,0
33.3178,0,0,0
20.855,0,0,0
50.9667,0,0,0
31.9883,0,0,0
15.3851,0,0,0
98.0537,0,0,0
90.1999,0,0,0
50.8038,0,0,0
35.8603,0,0,0
78.1107,0,0,0
21.3794,0,0,0
2.85085,0,0,0
406.6,0,0,0
88.9928,0,0,0
64.5459,0,0,0
282.751,0,0,0
70.8986,0,0,0
163.806,0,0,0
23.4631,0,0,0
49.2926,0,0,0
37.321,0,0,0
55.3899,0,0,0
58.5813,0,0,0
51.1006,0,0,0
290.779,0,0,0
2.01614,0,0,0
73.7956,0,0,0
0.912746,0,0,0
321.263,0,0,0
35.256,0,0,0
0.248996,0,0,0
30.7871,0,0,0
87.0656,0,0,0
115.245,0,0,0
112.435,0,0,0
16.1763,0,0,0
73.7943,0,0,0
28.5729,0,0,0
66.9948,0,0,0
170.673,0,0,0
148.22,0,0,0
41.8496,0,0,0
80.4837,0,0,0
18.2048,0,0,0
236.154,0,0,0
66.5838,0,0,0
130.532,0,0,0
20.1733,0,0,0
73.8562,0,0,0
54.1922,0,0,0
18.5225,0,0,0
60.3944,0,0,0
36.6283,0,0,0
54.9103,0,0,0
307.252,0,0,0
127.403,0,0,0
80.3314,0,0,0
25.2334,0,0,0
16.6632,0,0,0
89.9063,0,0,0
58.0368,0,0,0
61.4092,0,0,0
17.8818,0,0,0
225.706,0,0,0
314.984,0,0,0
251.64,0,0,0
89.1894,0,0,0
49.9915,0,0,0
49.6329,0,0,0
9.98745,0,0,0
58.2417,0,0,0
29.9654,0,0,0
1.9128,0,0,0
31.9794,0,0,0
41.8983,0,0,0
367.228,0,0,0
58.2345,0,0,0
131.209,0,0,0
35.6219,0,0,0
314.985,0,0,0
61.6848,0,0,0
11.2363,0,0,0
318.337,0,0,0
46.7178,0,0,0
71.9469,0,0,0
63.7643,0,0,0
483.896,0,0,0
67.9605,0,0,0
207.124,0,0,0
68.9156,0,0,0
174.204,0,0,0
41.268,0,0,0
29.0091,0,0,0
28.434,0,0,0
13.8549,0,0,0
10.8296,0,0,0
14.6026,0,0,0
37.2032,0,0,0
59.0546,0,0,0
90.691,0,0,0
129.549,0,0,0
159.816,0,0,0
5.38212,0,0,0
7.72292,0,0,0
101.027,0,0,0
45.5497,0,0,0
95.3932,0,0,0
44.4308,0,0,0
3.89001,0,0,0
1.13953,0,0,0
94.6868,0,0,0
87.3782,0,0,0
29.5809,0,0,0
342.156,0,0,0
44.5645,0,0,0
42.2304,0,0,0
44.5259,0,0,0
76.0114,0,0,0
40.9792,0,0,0
4.87707,0,0,0
28.8495,0,0,0
79.6429,0,0,0
29.6461,0,0,0
6.11929,0,0,0
46.0554,0,0,0
4.22659,0,0,0
128.129,0,0,0
32.2654,0,0,0
109.614,0,0,0
121.21,0,0,0
