in s,C3 in V
2.33036960E-02,-8.12988E-01
2.33037056E-02,-8.52051E-01
2.33037152E-02,-8.37402E-01
2.33037248E-02,-8.32520E-01
2.33037344E-02,-8.32520E-01
2.33037440E-02,-8.27637E-01
2.33037536E-02,-8.37402E-01
2.33037632E-02,-8.32520E-01
2.33037728E-02,-8.12988E-01
2.33037824E-02,-8.37402E-01
2.33037920E-02,-8.32520E-01
2.33038016E-02,-8.47168E-01
2.33038112E-02,-8.32520E-01
2.33038208E-02,-8.27637E-01
2.33038304E-02,-8.32520E-01
2.33038400E-02,-8.37402E-01
2.33038496E-02,-8.47168E-01
2.33038592E-02,-8.42285E-01
2.33038688E-02,-8.37402E-01
2.33038784E-02,-8.32520E-01
2.33038880E-02,-8.37402E-01
2.33038976E-02,-8.42285E-01
2.33039072E-02,-8.42285E-01
2.33039168E-02,-8.32520E-01
2.33039264E-02,-8.12988E-01
2.33039360E-02,-8.42285E-01
2.33039456E-02,-8.32520E-01
2.33039552E-02,-8.27637E-01
2.33039648E-02,-8.32520E-01
2.33039744E-02,-8.27637E-01
2.33039840E-02,-8.37402E-01
2.33039936E-02,-8.37402E-01
2.33040032E-02,-8.27637E-01
2.33040128E-02,-8.17871E-01
2.33040224E-02,-8.12988E-01
2.33040320E-02,-8.52051E-01
2.33040416E-02,-8.17871E-01
2.33040512E-02,-8.32520E-01
2.33040608E-02,-8.12988E-01
2.33040704E-02,-8.37402E-01
2.33040800E-02,-8.22754E-01
2.33040896E-02,-8.27637E-01
2.33040992E-02,-8.32520E-01
2.33041088E-02,-8.42285E-01
2.33041184E-02,-8.22754E-01
2.33041280E-02,-8.42285E-01
2.33041376E-02,-8.37402E-01
2.33041472E-02,-8.42285E-01
2.33041568E-02,-8.32520E-01
2.33041664E-02,-8.22754E-01
2.33041760E-02,-8.22754E-01
2.33041856E-02,-8.42285E-01
2.33041952E-02,-8.37402E-01
2.33042048E-02,-8.32520E-01
2.33042144E-02,-8.22754E-01
2.33042240E-02,-8.52051E-01
2.33042336E-02,-8.56934E-01
2.33042432E-02,-8.27637E-01
2.33042528E-02,-8.22754E-01
2.33042624E-02,-8.42285E-01
2.33042720E-02,-8.42285E-01
2.33042816E-02,-8.42285E-01
2.33042912E-02,-8.37402E-01
2.33043008E-02,-8.32520E-01
2.33043104E-02,-8.32520E-01
2.33043200E-02,-8.42285E-01
2.33043296E-02,-8.22754E-01
2.33043392E-02,-8.47168E-01
2.33043488E-02,-8.42285E-01
2.33043584E-02,-8.42285E-01
2.33043680E-02,-8.32520E-01
2.33043776E-02,-8.37402E-01
2.33043872E-02,-8.27637E-01
2.33043968E-02,-8.42285E-01
2.33044064E-02,-8.37402E-01
2.33044160E-02,-8.42285E-01
2.33044256E-02,-8.37402E-01
2.33044352E-02,-8.32520E-01
2.33044448E-02,-8.32520E-01
2.33044544E-02,-8.37402E-01
2.33044640E-02,-8.17871E-01
2.33044736E-02,-8.27637E-01
2.33044832E-02,-8.27637E-01
2.33044928E-02,-8.32520E-01
2.33045024E-02,-8.17871E-01
2.33045120E-02,-8.42285E-01
2.33045216E-02,-8.42285E-01
2.33045312E-02,-8.37402E-01
